City,Mapping
ANNISTON,0
BIRMINGHAM,1
BUTLER,2
DECATUR,3
DOTHAN,4
EVERGREEN,5
GADSDEN,6
HUNTSVILLE,7
JASPER,8
MOBILE,9
MONTGOMERY,10
PHENIX CITY,11
SELMA,12
TUSCALOOSA,13
ANCHORAGE,14
FAIRBANKS,15
JUNEAU,16
KETCHIKAN,17
CHAMBERS,18
FLAGSTAFF,19
GLOBE,20
KINGMAN,21
MESA/TEMPE,22
PHOENIX,23
PRESCOTT,24
SHOW LOW,25
TUCSON,26
BATESVILLE,27
CAMDEN,28
FAYETTEVILLE,29
FORT SMITH,30
HARRISON,31
HOT SPRINGS,32
JONESBORO,33
LITTLE ROCK,34
PINE BLUFF,35
RUSSELLVILLE,36
TEXARKANA,37
WEST MEMPHIS,38
ALHAMBRA,39
ANAHEIM,40
BAKERSFIELD,41
BERKELEY,42
EUREKA,43
FRESNO,44
INGLEWOOD,45
LONG BEACH,46
LOS ANGELES,47
MARYSVILLE,48
MODESTO,49
MOJAVE,50
OAKLAND,51
OXNARD,52
PALM SPRINGS,53
PALO ALTO,54
PASADENA,55
REDDING,56
RICHMOND,57
RIVERSIDE,58
SACRAMENTO,59
SALINAS,60
SAN BERNARDINO,61
SAN DIEGO,62
SAN FRANCISCO,63
SAN JOSE,64
SAN LUIS OBISPO,65
SAN MATEO,66
SAN RAFAEL,67
SANTA ANA,68
SANTA BARBARA,69
SANTA CRUZ,70
SANTA ROSA,71
STOCKTON,72
SUSANVILLE,73
VALLEJO,74
VAN NUYS,75
ALAMOSA,76
BOULDER,77
COLORADO SPRINGS,78
DENVER,79
DURANGO,80
FORT COLLINS,81
FORT MORGAN,82
GLENWOOD SPRINGS,83
GOLDEN,84
GRAND JUNCTION,85
GREELEY,86
MONTROSE,87
PUEBLO,88
SALIDA,89
BRIDGEPORT,90
HARTFORD,91
MERIDEN,92
NEW BRITAIN,93
NEW HAVEN,94
NEW LONDON,95
NORWALK,96
STAMFORD,97
WATERBURY,98
WILLIMANTIC,99
WASHINGTON,100
DOVER,101
NEWARK,102
WILMINGTON,103
DAYTONA BEACH,104
FORT LAUDERDALE,105
FORT MYERS,106
GAINESVILLE,107
JACKSONVILLE,108
LAKELAND,109
MELBOURNE,110
MIAMI,111
ORLANDO,112
PANAMA CITY,113
PENSACOLA,114
SARASOTA,115
ST. PETERSBURG,116
TALLAHASSEE,117
TAMPA,118
WEST PALM BEACH,119
ALBANY,120
ATHENS,121
ATLANTA,122
AUGUSTA,123
COLUMBUS,124
DALTON,125
MACON,126
SAVANNAH,127
STATESBORO,128
VALDOSTA,129
WAYCROSS,130
HILO,131
HONOLULU,132
"STATES & POSS., GUAM",133
BOISE,134
COEUR D'ALENE,135
IDAHO FALLS,136
LEWISTON,137
POCATELLO,138
TWIN FALLS,139
BLOOMINGTON,140
CARBONDALE,141
CENTRALIA,142
CHAMPAIGN,143
CHICAGO,144
EAST ST. LOUIS,145
EFFINGHAM,146
GALESBURG,147
JOLIET,148
KANKAKEE,149
LA SALLE,150
NORTH SUBURBAN,151
PEORIA,152
QUINCY,153
ROCK ISLAND,154
ROCKFORD,155
SOUTH SUBURBAN,156
SPRINGFIELD,157
ANDERSON,158
EVANSVILLE,159
FORT WAYNE,160
GARY,161
INDIANAPOLIS,162
KOKOMO,163
